"name","alpha","id","amount","type","date","origin","full","fy"
"Jaren","Deena",10,1359,"Cash",2009-04-04,"small","Jaren Deena","2009"
"Jaren","Deena",10,706,"Recurring Gift",2014-03-08,"small","Jaren Deena","2014"
"Jaren","Deena",10,1251,"Cash",2010-03-01,"small","Jaren Deena","2010"
"Jaren","Deena",10,3929,"Stock",2010-09-02,"small","Jaren Deena","2010"
"Jaren","Deena",10,788,"Stock",2010-11-15,"small","Jaren Deena","2010"
"Dee","Mervyn",11,264,"Stock",2008-07-30,"small","Dee Mervyn","2008"
"Dennis","Edd",12,1116,"Cash",2008-09-13,"small","Dennis Edd","2008"
"Dennis","Edd",12,1910,"Recurring Gift",2016-06-28,"small","Dennis Edd","2016"
"Dennis","Edd",12,2267,"Cash",2017-02-01,"small","Dennis Edd","2017"
"Yetta","Caryn",13,4220,"Stock",2016-01-16,"small","Yetta Caryn","2016"
"Yetta","Caryn",13,1602,"Cash",2010-09-06,"small","Yetta Caryn","2010"
"Yetta","Caryn",13,67883,"Cash",2018-03-21,"medium","Yetta Caryn","2018"
"Lucienne","Phyllis",14,3465,"Stock",2011-06-09,"small","Lucienne Phyllis","2011"
"Lucienne","Phyllis",14,3860,"Cash",2011-10-19,"small","Lucienne Phyllis","2011"
"Katharine","Nehemiah",15,4594,"Recurring Gift",2011-05-20,"small","Katharine Nehemiah","2011"
"Katharine","Nehemiah",15,2146,"Stock",2009-07-16,"small","Katharine Nehemiah","2009"
"Paris","Lucie",16,1333,"Recurring Gift",2012-09-24,"small","Paris Lucie","2012"
"Destany","Sanford",17,2968,"Recurring Gift",2012-05-19,"small","Destany Sanford","2012"
"Bradford","Maryjane",18,4280,"Cash",2010-02-19,"small","Bradford Maryjane","2010"
"Bradford","Maryjane",18,2269,"Stock",2011-10-26,"small","Bradford Maryjane","2011"
"Kimberly","Randy",19,1826,"Stock",2015-12-30,"small","Kimberly Randy","2015"
"Gearld","Francheska",20,4767,"Cash",2018-11-21,"small","Gearld Francheska","2018"
"Gearld","Francheska",20,1990,"Recurring Gift",2012-11-20,"small","Gearld Francheska","2012"
"Gearld","Francheska",20,4672,"Stock",2014-03-13,"small","Gearld Francheska","2014"
"Helena","Cleveland",21,3554,"Cash",2014-08-25,"small","Helena Cleveland","2014"
"Justyn","Lonnie",22,2403,"Cash",2013-11-30,"small","Justyn Lonnie","2013"
"Justyn","Lonnie",22,1483,"Stock",2013-05-01,"small","Justyn Lonnie","2013"
"Justyn","Lonnie",22,1503,"Cash",2009-09-27,"small","Justyn Lonnie","2009"
"Teresa","Parrish",23,1411,"Stock",2011-01-24,"small","Teresa Parrish","2011"
"Teresa","Parrish",23,632,"Recurring Gift",2018-02-06,"small","Teresa Parrish","2018"
"Teresa","Parrish",23,2978,"Stock",2017-07-28,"small","Teresa Parrish","2017"
"Teresa","Parrish",23,3124,"Recurring Gift",2012-10-01,"small","Teresa Parrish","2012"
"Epifanio","Kevin",24,NA,NA,NA,NA,"Epifanio Kevin",NA
"Sterling","Kelsie",25,650,"Stock",2016-12-16,"small","Sterling Kelsie","2016"
"Sterling","Kelsie",25,1648,"Cash",2012-09-08,"small","Sterling Kelsie","2012"
"Roderick","Stanley",26,3694,"Cash",2017-10-18,"small","Roderick Stanley","2017"
"Lyn","Libbie",27,4288,"Stock",2018-10-11,"small","Lyn Libbie","2018"
"William","Kobe",28,1968,"Stock",2010-07-09,"small","William Kobe","2010"
"William","Kobe",28,4276,"Recurring Gift",2013-09-26,"small","William Kobe","2013"
"Hayward","Laurel",29,584,"Stock",2012-02-27,"small","Hayward Laurel","2012"
"Hayward","Laurel",29,4263,"Recurring Gift",2012-07-22,"small","Hayward Laurel","2012"
"Hayward","Laurel",29,2324,"Recurring Gift",2010-03-28,"small","Hayward Laurel","2010"
"Hayward","Laurel",29,9405,"Stock",2009-05-18,"medium","Hayward Laurel","2009"
"Grace","Micaela",30,3276,"Stock",2009-05-03,"small","Grace Micaela","2009"
"Grace","Micaela",30,2811,"Recurring Gift",2018-09-17,"small","Grace Micaela","2018"
"Grace","Micaela",30,50813,"Cash",2010-08-26,"medium","Grace Micaela","2010"
"Mel","Misti",31,2078,"Recurring Gift",2016-04-06,"small","Mel Misti","2016"
"Mel","Misti",31,2892,"Cash",2015-02-20,"small","Mel Misti","2015"
"Mel","Misti",31,32689,"Pledge",2015-04-01,"medium","Mel Misti","2015"
"Reginald","Twila",32,1868,"Cash",2013-12-08,"small","Reginald Twila","2013"
"Reginald","Twila",32,1530,"Cash",2014-12-21,"small","Reginald Twila","2014"
"Reginald","Twila",32,1717,"Recurring Gift",2010-09-14,"small","Reginald Twila","2010"
"Reginald","Twila",32,80561,"Cash",2016-09-03,"medium","Reginald Twila","2016"
"Shirlee","Jennie",33,3946,"Cash",2018-09-09,"small","Shirlee Jennie","2018"
"Shirlee","Jennie",33,31,"Stock",2011-09-17,"small","Shirlee Jennie","2011"
"Heber","Myranda",34,2138,"Cash",2009-11-08,"small","Heber Myranda","2009"
"Heber","Myranda",34,1695,"Stock",2017-07-22,"small","Heber Myranda","2017"
"Cordie","Estelle",35,NA,NA,NA,NA,"Cordie Estelle",NA
"Grayson","Ira",36,2033,"Cash",2010-06-22,"small","Grayson Ira","2010"
"Ezequiel","Lulu",37,1968,"Cash",2016-04-20,"small","Ezequiel Lulu","2016"
"Chantal","Grady",38,868,"Cash",2013-06-28,"small","Chantal Grady","2013"
"Euna","Nash",39,3557,"Stock",2009-07-22,"small","Euna Nash","2009"
"Maryanne","Hector",40,595,"Stock",2015-09-15,"small","Maryanne Hector","2015"
"Tammy","Jim",41,1691,"Cash",2010-04-12,"small","Tammy Jim","2010"
"Tammy","Jim",41,2895,"Cash",2017-10-31,"small","Tammy Jim","2017"
"Tammy","Jim",41,3856,"Recurring Gift",2016-09-23,"small","Tammy Jim","2016"
"Tammy","Jim",41,3758,"Recurring Gift",2013-06-24,"small","Tammy Jim","2013"
"Tammy","Jim",41,62499,"Stock",2014-11-29,"medium","Tammy Jim","2014"
"Emmitt","Burnice",42,2865,"Stock",2017-05-19,"small","Emmitt Burnice","2017"
"Emmitt","Burnice",42,1220,"Stock",2012-02-24,"small","Emmitt Burnice","2012"
"Emmitt","Burnice",42,4335,"Cash",2011-07-14,"small","Emmitt Burnice","2011"
"Kaylyn","Isiah",43,3989,"Recurring Gift",2015-03-12,"small","Kaylyn Isiah","2015"
"Kaylyn","Isiah",43,2413,"Cash",2011-01-14,"small","Kaylyn Isiah","2011"
"Robyn","Shea",44,4686,"Cash",2015-10-13,"small","Robyn Shea","2015"
"Robyn","Shea",44,1720,"Cash",2018-09-13,"small","Robyn Shea","2018"
"Robyn","Shea",44,51,"Cash",2013-11-14,"small","Robyn Shea","2013"
"Cathie","Yoshiko",45,1865,"Cash",2016-05-15,"small","Cathie Yoshiko","2016"
"Dax","Derick",46,NA,NA,NA,NA,"Dax Derick",NA
"Guy","Isabel",47,2222,"Cash",2015-01-09,"small","Guy Isabel","2015"
"Guy","Isabel",47,1985,"Cash",2012-07-04,"small","Guy Isabel","2012"
"Guy","Isabel",47,226,"Recurring Gift",2017-08-10,"small","Guy Isabel","2017"
"Guy","Isabel",47,1726,"Stock",2011-05-31,"small","Guy Isabel","2011"
"Guy","Isabel",47,4487,"Recurring Gift",2015-05-10,"small","Guy Isabel","2015"
"Mayra","Eliseo",48,4055,"Recurring Gift",2013-09-17,"small","Mayra Eliseo","2013"
"Mayra","Eliseo",48,4685,"Stock",2009-11-01,"small","Mayra Eliseo","2009"
"Mayra","Eliseo",48,2868,"Cash",2014-12-17,"small","Mayra Eliseo","2014"
"Lauren","Rosanne",49,2152,"Cash",2008-08-26,"small","Lauren Rosanne","2008"
"Lauren","Rosanne",49,3199,"Stock",2018-01-10,"small","Lauren Rosanne","2018"
"Collette","Delaney",50,3160,"Stock",2011-02-26,"small","Collette Delaney","2011"
"Collette","Delaney",50,14583,"Cash",2017-08-27,"medium","Collette Delaney","2017"
"Lena","Violet",51,3199,"Stock",2010-05-15,"small","Lena Violet","2010"
"Lena","Violet",51,4711,"Stock",2015-07-27,"small","Lena Violet","2015"
"Lena","Violet",51,2827,"Recurring Gift",2010-10-14,"small","Lena Violet","2010"
"Lena","Violet",51,4267,"Recurring Gift",2009-08-25,"small","Lena Violet","2009"
"Tim","Maribel",52,1708,"Stock",2010-11-12,"small","Tim Maribel","2010"
"Neva","Draven",53,2474,"Recurring Gift",2009-01-14,"small","Neva Draven","2009"
"Neva","Draven",53,3253,"Stock",2015-09-19,"small","Neva Draven","2015"
"Mickey","Karyn",54,2191,"Cash",2016-06-18,"small","Mickey Karyn","2016"
"Mickey","Karyn",54,4803,"Stock",2011-09-08,"small","Mickey Karyn","2011"
"Mickey","Karyn",54,2395,"Recurring Gift",2018-01-07,"small","Mickey Karyn","2018"
"Mickey","Karyn",54,3672,"Recurring Gift",2014-02-03,"small","Mickey Karyn","2014"
"Mickey","Karyn",54,189,"Cash",2016-09-22,"small","Mickey Karyn","2016"
"Kirsten","Delbert",55,4652,"Recurring Gift",2011-04-28,"small","Kirsten Delbert","2011"
"Robin","Percy",56,824,"Cash",2013-03-28,"small","Robin Percy","2013"
"Robin","Percy",56,3242,"Cash",2014-06-19,"small","Robin Percy","2014"
"Robin","Percy",56,75359,"Stock",2017-12-24,"medium","Robin Percy","2017"
"Linsey","Theda",57,4487,"Cash",2008-09-27,"small","Linsey Theda","2008"
"Nashaly","Brandan",58,3673,"Cash",2009-02-27,"small","Nashaly Brandan","2009"
"Kelley","Norah",59,3010,"Recurring Gift",2010-06-30,"small","Kelley Norah","2010"
"Kelley","Norah",59,4070,"Stock",2013-12-18,"small","Kelley Norah","2013"
"Kelley","Norah",59,4300,"Cash",2013-10-04,"small","Kelley Norah","2013"
"Kelley","Norah",59,4998,"Recurring Gift",2011-12-17,"small","Kelley Norah","2011"
"Frank","Kacey",60,4963,"Stock",2008-09-01,"small","Frank Kacey","2008"
"Frank","Kacey",60,3866,"Stock",2012-12-13,"small","Frank Kacey","2012"
"Frank","Kacey",60,27554,"Stock",2012-05-27,"medium","Frank Kacey","2012"
"Melvyn","Stefanie",61,NA,NA,NA,NA,"Melvyn Stefanie",NA
"Andreas","Jean",62,744,"Stock",2015-03-08,"small","Andreas Jean","2015"
"Andreas","Jean",62,2458,"Cash",2010-08-24,"small","Andreas Jean","2010"
"Tyson","Helene",63,4964,"Cash",2011-05-19,"small","Tyson Helene","2011"
"Winnie","Jarred",64,3972,"Recurring Gift",2017-07-19,"small","Winnie Jarred","2017"
"Winnie","Jarred",64,3421,"Stock",2014-05-12,"small","Winnie Jarred","2014"
"Winnie","Jarred",64,3781,"Cash",2011-07-27,"small","Winnie Jarred","2011"
"Winnie","Jarred",64,4184,"Stock",2016-03-04,"small","Winnie Jarred","2016"
"Winnie","Jarred",64,32545,"Recurring Gift",2014-04-11,"medium","Winnie Jarred","2014"
"Kathrine","Marta",65,3939,"Stock",2011-04-20,"small","Kathrine Marta","2011"
"Nigel","Jedediah",66,174,"Cash",2008-10-16,"small","Nigel Jedediah","2008"
"Nigel","Jedediah",66,4959,"Stock",2012-02-11,"small","Nigel Jedediah","2012"
"Nigel","Jedediah",66,4270,"Recurring Gift",2018-05-18,"small","Nigel Jedediah","2018"
"Nigel","Jedediah",66,2375,"Cash",2013-07-17,"small","Nigel Jedediah","2013"
"Davonte","Samuel",67,175,"Cash",2017-12-11,"small","Davonte Samuel","2017"
"Davonte","Samuel",67,4678,"Stock",2012-11-16,"small","Davonte Samuel","2012"
"Stan","Zane",68,1766,"Recurring Gift",2011-03-15,"small","Stan Zane","2011"
"Stan","Zane",68,2772,"Stock",2016-06-30,"small","Stan Zane","2016"
"Stan","Zane",68,504,"Stock",2009-04-28,"small","Stan Zane","2009"
"Stan","Zane",68,2246,"Recurring Gift",2018-02-19,"small","Stan Zane","2018"
"Stan","Zane",68,4410,"Stock",2008-08-21,"small","Stan Zane","2008"
"Maurine","Mack",69,2946,"Recurring Gift",2012-01-23,"small","Maurine Mack","2012"
"Joni","Jami",70,2549,"Cash",2009-06-25,"small","Joni Jami","2009"
"Joni","Jami",70,2587,"Cash",2014-08-15,"small","Joni Jami","2014"
"Joni","Jami",70,2445,"Cash",2014-08-09,"small","Joni Jami","2014"
"Joni","Jami",70,102,"Cash",2013-11-16,"small","Joni Jami","2013"
"Norman","Louie",71,3854,"Stock",2015-06-07,"small","Norman Louie","2015"
"Norman","Louie",71,98104,"Stock",2014-04-06,"medium","Norman Louie","2014"
"Tracy","Shantell",72,4883,"Cash",2013-05-08,"small","Tracy Shantell","2013"
"Tracy","Shantell",72,3873,"Stock",2008-12-18,"small","Tracy Shantell","2008"
"Sharon","Lazaro",73,1793,"Stock",2013-10-29,"small","Sharon Lazaro","2013"
"Sharon","Lazaro",73,415,"Stock",2017-10-07,"small","Sharon Lazaro","2017"
"Sharon","Lazaro",73,961,"Recurring Gift",2011-04-14,"small","Sharon Lazaro","2011"
"Karson","Darrel",74,4279,"Recurring Gift",2014-02-14,"small","Karson Darrel","2014"
"Reginald","Selmer",75,803,"Stock",2011-05-25,"small","Reginald Selmer","2011"
"Reginald","Selmer",75,2321,"Cash",2015-12-08,"small","Reginald Selmer","2015"
"Reginald","Selmer",75,1512,"Cash",2011-02-13,"small","Reginald Selmer","2011"
"Keyshawn","Mechelle",76,2186,"Recurring Gift",2012-04-10,"small","Keyshawn Mechelle","2012"
"Tiara","Lashanda",77,3115,"Recurring Gift",2008-10-05,"small","Tiara Lashanda","2008"
"Davon","Mindi",78,1813,"Stock",2013-12-18,"small","Davon Mindi","2013"
"Davon","Mindi",78,4373,"Stock",2011-05-01,"small","Davon Mindi","2011"
"Davon","Mindi",78,4077,"Stock",2017-02-13,"small","Davon Mindi","2017"
"Hailee","Issac",79,1162,"Recurring Gift",2016-04-07,"small","Hailee Issac","2016"
"Cierra","Jessenia",80,918,"Recurring Gift",2014-04-15,"small","Cierra Jessenia","2014"
"Cierra","Jessenia",80,4016,"Cash",2016-06-13,"small","Cierra Jessenia","2016"
"Cierra","Jessenia",80,21763,"Pledge",2014-12-14,"medium","Cierra Jessenia","2014"
"Cierra","Jessenia",80,20889,"Recurring Gift",2012-01-07,"medium","Cierra Jessenia","2012"
"Debi","Kenia",81,1308,"Stock",2015-11-25,"small","Debi Kenia","2015"
"Debi","Kenia",81,2273,"Recurring Gift",2014-11-08,"small","Debi Kenia","2014"
"Debi","Kenia",81,4554,"Cash",2009-01-12,"small","Debi Kenia","2009"
"Marcel","Johnie",82,808,"Stock",2018-03-30,"small","Marcel Johnie","2018"
"Marcel","Johnie",82,27998,"Stock",2009-09-09,"medium","Marcel Johnie","2009"
"Katharine","Noel",83,2727,"Cash",2011-04-22,"small","Katharine Noel","2011"
"Katharine","Noel",83,697,"Recurring Gift",2011-03-06,"small","Katharine Noel","2011"
"Katharine","Noel",83,3296,"Cash",2013-08-29,"small","Katharine Noel","2013"
"Katharine","Noel",83,2878,"Recurring Gift",2017-08-01,"small","Katharine Noel","2017"
"Katharine","Noel",83,3434,"Cash",2012-11-02,"small","Katharine Noel","2012"
"Katharine","Noel",83,3595,"Stock",2011-01-27,"small","Katharine Noel","2011"
"Gustavo","Henry",84,8,"Cash",2010-03-26,"small","Gustavo Henry","2010"
"Gustavo","Henry",84,727,"Stock",2011-07-11,"small","Gustavo Henry","2011"
"Lucius","Tierra",85,2549,"Stock",2015-06-27,"small","Lucius Tierra","2015"
"Lucius","Tierra",85,1559,"Stock",2016-02-12,"small","Lucius Tierra","2016"
"Kelley","Yasmeen",86,3958,"Recurring Gift",2008-07-02,"small","Kelley Yasmeen","2008"
"Kelley","Yasmeen",86,4956,"Recurring Gift",2017-10-24,"small","Kelley Yasmeen","2017"
"Amy","Latosha",87,3322,"Stock",2015-05-22,"small","Amy Latosha","2015"
"Amy","Latosha",87,3460,"Recurring Gift",2013-10-25,"small","Amy Latosha","2013"
"Dino","Chelsi",88,3914,"Recurring Gift",2009-06-22,"small","Dino Chelsi","2009"
"Dino","Chelsi",88,1948,"Recurring Gift",2017-07-23,"small","Dino Chelsi","2017"
"Dino","Chelsi",88,4773,"Cash",2008-09-24,"small","Dino Chelsi","2008"
"Evan","Melvina",89,1682,"Cash",2014-01-16,"small","Evan Melvina","2014"
"Evan","Melvina",89,75,"Recurring Gift",2013-03-10,"small","Evan Melvina","2013"
"Peyton","Claribel",90,419,"Cash",2012-11-21,"small","Peyton Claribel","2012"
"Peyton","Claribel",90,50,"Cash",2017-08-02,"small","Peyton Claribel","2017"
"Peyton","Claribel",90,2461,"Cash",2012-07-29,"small","Peyton Claribel","2012"
"Montgomery","Gavin",91,4489,"Stock",2015-11-26,"small","Montgomery Gavin","2015"
"Montgomery","Gavin",91,3342,"Stock",2011-11-15,"small","Montgomery Gavin","2011"
"Montgomery","Gavin",91,4566,"Cash",2016-12-24,"small","Montgomery Gavin","2016"
"Montgomery","Gavin",91,2491,"Stock",2015-05-25,"small","Montgomery Gavin","2015"
"Korey","Todd",92,4151,"Cash",2008-09-22,"small","Korey Todd","2008"
"Korey","Todd",92,1818,"Stock",2010-03-25,"small","Korey Todd","2010"
"Korey","Todd",92,46,"Stock",2018-08-24,"small","Korey Todd","2018"
"Korey","Todd",92,4870,"Cash",2015-10-10,"small","Korey Todd","2015"
"Korey","Todd",92,28053,"Cash",2014-08-02,"medium","Korey Todd","2014"
"Mandy","Lanny",93,1433,"Recurring Gift",2014-12-24,"small","Mandy Lanny","2014"
"Mandy","Lanny",93,767,"Stock",2013-12-08,"small","Mandy Lanny","2013"
"Katlynn","Williams",94,4598,"Cash",2017-07-21,"small","Katlynn Williams","2017"
"Loriann","Eulah",95,135,"Recurring Gift",2018-08-06,"small","Loriann Eulah","2018"
"Edie","Jacob",96,NA,NA,NA,NA,"Edie Jacob",NA
"Vester","Kaycee",97,651,"Stock",2014-01-02,"small","Vester Kaycee","2014"
"Vester","Kaycee",97,1040,"Recurring Gift",2014-12-29,"small","Vester Kaycee","2014"
"Vester","Kaycee",97,1456,"Stock",2014-07-27,"small","Vester Kaycee","2014"
"Vester","Kaycee",97,295,"Stock",2011-08-22,"small","Vester Kaycee","2011"
"Dillan","Dorotha",98,2588,"Cash",2018-07-27,"small","Dillan Dorotha","2018"
"Joellen","Cory",99,1349,"Stock",2018-02-03,"small","Joellen Cory","2018"
"Joellen","Cory",99,4304,"Stock",2014-06-01,"small","Joellen Cory","2014"
"Lorraine","Eric",100,3241,"Cash",2010-12-18,"small","Lorraine Eric","2010"
"Lorraine","Eric",100,1958,"Stock",2014-12-06,"small","Lorraine Eric","2014"
"Lorraine","Eric",100,2799,"Recurring Gift",2011-01-09,"small","Lorraine Eric","2011"
"Lorraine","Eric",100,1887,"Cash",2017-12-05,"small","Lorraine Eric","2017"
"Dian","Aniya",101,2568,"Recurring Gift",2016-06-27,"small","Dian Aniya","2016"
"Dian","Aniya",101,2228,"Stock",2016-06-30,"small","Dian Aniya","2016"
"Dian","Aniya",101,2419,"Stock",2010-05-30,"small","Dian Aniya","2010"
"Dian","Aniya",101,423,"Cash",2009-08-27,"small","Dian Aniya","2009"
"Dian","Aniya",101,87643,"Pledge",2017-08-10,"medium","Dian Aniya","2017"
"Ibrahim","Rena",102,27809,"Cash",2013-04-04,"medium","Ibrahim Rena","2013"
"Terry","Flossie",103,1534,"Cash",2015-12-28,"small","Terry Flossie","2015"
"Terry","Flossie",103,2064,"Cash",2014-05-20,"small","Terry Flossie","2014"
"Terry","Flossie",103,2314,"Recurring Gift",2014-05-15,"small","Terry Flossie","2014"
"Terry","Flossie",103,4399,"Cash",2011-02-09,"small","Terry Flossie","2011"
"Terry","Flossie",103,1051,"Cash",2016-04-09,"small","Terry Flossie","2016"
"Ivah","Karri",104,1575,"Stock",2015-09-16,"small","Ivah Karri","2015"
"Ivah","Karri",104,3624,"Stock",2018-12-08,"small","Ivah Karri","2018"
"Elna","Margie",105,4643,"Recurring Gift",2015-05-30,"small","Elna Margie","2015"
"Elna","Margie",105,608,"Recurring Gift",2009-07-15,"small","Elna Margie","2009"
"Elna","Margie",105,4686,"Cash",2014-07-08,"small","Elna Margie","2014"
"Elna","Margie",105,92326,"Recurring Gift",2013-10-08,"medium","Elna Margie","2013"
"Salma","Marty",106,985,"Stock",2015-10-05,"small","Salma Marty","2015"
"Salma","Marty",106,31180,"Pledge",2016-05-14,"medium","Salma Marty","2016"
"Salma","Marty",106,59299,"Stock",2014-10-06,"medium","Salma Marty","2014"
"Gianna","Candida",107,NA,NA,NA,NA,"Gianna Candida",NA
"Melvin","Ida",108,384,"Cash",2011-09-12,"small","Melvin Ida","2011"
"Melvin","Ida",108,1505,"Stock",2009-11-09,"small","Melvin Ida","2009"
"Melvin","Ida",108,4398,"Recurring Gift",2018-07-30,"small","Melvin Ida","2018"
"Melba","Ottie",109,2180,"Stock",2014-09-04,"small","Melba Ottie","2014"
"Melba","Ottie",109,485,"Cash",2012-12-07,"small","Melba Ottie","2012"
"Hildegard","Keishla",110,2208,"Cash",2010-03-05,"small","Hildegard Keishla","2010"
"Brittney","Lillie",111,2757,"Recurring Gift",2011-08-01,"small","Brittney Lillie","2011"
"Brittney","Lillie",111,4106,"Recurring Gift",2014-12-24,"small","Brittney Lillie","2014"
"George","Justine",112,745,"Cash",2014-04-24,"small","George Justine","2014"
"George","Justine",112,1468,"Cash",2017-10-04,"small","George Justine","2017"
"Karissa","Lavon",113,378981,"Pledge",2018-08-02,"big","Karissa Lavon","2018"
"Karissa","Lavon",113,345,"Stock",2015-07-09,"small","Karissa Lavon","2015"
"Karissa","Lavon",113,1812,"Cash",2008-07-15,"small","Karissa Lavon","2008"
"Karissa","Lavon",113,3137,"Stock",2009-02-15,"small","Karissa Lavon","2009"
"Fannie","Justina",114,4183,"Recurring Gift",2016-03-09,"small","Fannie Justina","2016"
"Fannie","Justina",114,1470,"Stock",2011-06-25,"small","Fannie Justina","2011"
"Fannie","Justina",114,31085,"Recurring Gift",2016-06-28,"medium","Fannie Justina","2016"
"Tresa","Mackenzie",115,2213,"Recurring Gift",2014-10-02,"small","Tresa Mackenzie","2014"
"Tresa","Mackenzie",115,4811,"Stock",2009-03-04,"small","Tresa Mackenzie","2009"
"Tresa","Mackenzie",115,790,"Stock",2013-09-19,"small","Tresa Mackenzie","2013"
"Frederic","Damian",116,2409,"Stock",2013-06-21,"small","Frederic Damian","2013"
"Frederic","Damian",116,4999,"Stock",2015-02-24,"small","Frederic Damian","2015"
"Nickolas","Kendrick",117,4045,"Cash",2013-12-24,"small","Nickolas Kendrick","2013"
"Jeramy","Alois",118,16840,"Stock",2012-07-29,"medium","Jeramy Alois","2012"
"Ileana","Otis",119,3318,"Cash",2017-02-10,"small","Ileana Otis","2017"
"Ileana","Otis",119,1773,"Cash",2015-12-08,"small","Ileana Otis","2015"
"Ileana","Otis",119,2702,"Cash",2018-02-27,"small","Ileana Otis","2018"
"Ileana","Otis",119,2090,"Cash",2018-04-30,"small","Ileana Otis","2018"
"Genoveva","Lakesha",120,18,"Recurring Gift",2010-07-12,"small","Genoveva Lakesha","2010"
"Genoveva","Lakesha",120,3172,"Stock",2010-04-18,"small","Genoveva Lakesha","2010"
"Genoveva","Lakesha",120,4080,"Stock",2008-09-24,"small","Genoveva Lakesha","2008"
"Malia","Maura",121,4087,"Stock",2014-12-31,"small","Malia Maura","2014"
"Malia","Maura",121,1719,"Recurring Gift",2017-10-01,"small","Malia Maura","2017"
"Rolla","Joetta",122,4438,"Cash",2013-12-16,"small","Rolla Joetta","2013"
"Jaime","Omar",123,2704,"Cash",2015-10-28,"small","Jaime Omar","2015"
"Jaime","Omar",123,3222,"Recurring Gift",2015-06-11,"small","Jaime Omar","2015"
"Jaime","Omar",123,1046,"Recurring Gift",2014-08-31,"small","Jaime Omar","2014"
"Jaime","Omar",123,4911,"Stock",2017-07-04,"medium","Jaime Omar","2017"
"Nathan","Johnna",124,1446,"Stock",2014-01-04,"small","Nathan Johnna","2014"
"Nathan","Johnna",124,3763,"Recurring Gift",2010-04-09,"small","Nathan Johnna","2010"
"Gabriella","Lizbeth",125,1330,"Recurring Gift",2010-07-14,"small","Gabriella Lizbeth","2010"
"Gabriella","Lizbeth",125,2448,"Cash",2017-01-04,"small","Gabriella Lizbeth","2017"
"Gabriella","Lizbeth",125,2892,"Cash",2012-05-14,"small","Gabriella Lizbeth","2012"
"Gabriella","Lizbeth",125,3945,"Stock",2016-10-17,"small","Gabriella Lizbeth","2016"
"Gabriella","Lizbeth",125,4983,"Recurring Gift",2015-12-15,"medium","Gabriella Lizbeth","2015"
"Donavon","XavierYosefZachariah",126,2288,"Recurring Gift",2008-11-18,"small","Donavon XavierYosefZachariah","2008"
"Donavon","XavierYosefZachariah",126,3046,"Recurring Gift",2014-11-19,"small","Donavon XavierYosefZachariah","2014"
"Donavon","XavierYosefZachariah",126,57,"Recurring Gift",2017-07-07,"small","Donavon XavierYosefZachariah","2017"
"Donavon","XavierYosefZachariah",126,779,"Stock",2012-10-25,"small","Donavon XavierYosefZachariah","2012"
"Debbie","Ron",127,NA,NA,NA,NA,"Debbie Ron",NA
"Jade","Lora",128,113,"Stock",2012-05-19,"small","Jade Lora","2012"
"Jade","Lora",128,4770,"Cash",2011-03-09,"small","Jade Lora","2011"
"Jade","Lora",128,1816,"Cash",2010-05-13,"small","Jade Lora","2010"
"Jade","Lora",128,31950,"Pledge",2014-04-21,"medium","Jade Lora","2014"
"Herb","Erik",129,3283,"Cash",2014-03-09,"small","Herb Erik","2014"
"Herb","Erik",129,3303,"Recurring Gift",2012-09-29,"small","Herb Erik","2012"
"Herb","Erik",129,133,"Recurring Gift",2014-05-13,"small","Herb Erik","2014"
"Devan","Fallon",130,87,"Recurring Gift",2010-08-06,"small","Devan Fallon","2010"
"Devan","Fallon",130,4385,"Stock",2017-06-03,"small","Devan Fallon","2017"
